ma_san_pham,ten_san_pham,duong_dan_tinh,ma_ncc,ma_diem_den,loai_san_pham,gia_co_ban,don_vi_tinh,so_ngay,suc_chua_toi_da,chinh_sach_huy,diem_danh_gia_tb,so_luot_danh_gia,trang_thai,ngay_tao
SP0031,Vé tham quan Làng gốm Tây Hồ – Lào Cai,ve-tham-quan-lang-gom-tay-ho-lao-cai,NCC006,DD001,Vé tham quan,50000,khách,1,100,Phí 30% trong 48 giờ,0.0,0,dang_ban,2024-02-25
SP0032,Tour trọn gói Cánh đồng Ngọc Trai – Yên Bái,tour-tron-goi-canh-dong-ngoc-trai-yen-bai,NCC011,DD009,Tour trọn gói,2450000,khách,3,16,Không hoàn sau khi xác nhận,4.0,1,dang_ban,2025-04-16
SP0033,Vận chuyển Vườn quốc gia Hương Giang – Đà Nẵng,van-chuyen-vuon-quoc-gia-huong-giang-da-nang,NCC001,DD041,Vận chuyển,260000,khách,1,16,Miễn phí trước 7 ngày,0.0,0,dang_ban,2023-08-12
SP0034,Dịch vụ trải nghiệm Địa đạo Đại Lộc – Ninh Bình,dich-vu-trai-nghiem-dia-dao-dai-loc-ninh-binh,NCC003,DD024,Dịch vụ trải nghiệm,350000,khách,1,15,Miễn phí trước 3 ngày,5.0,1,dang_ban,2025-11-10
SP0035,Vận chuyển Khu di sản Mỹ Cảnh – Hà Nội,van-chuyen-khu-di-san-my-canh-ha-noi,NCC022,DD022,Vận chuyển,260000,khách,1,16,Không hoàn sau khi xác nhận,4.0,1,dang_ban,2024-12-22
SP0036,Tour trọn gói Chợ đêm Hòa Xuân – Bình Định,tour-tron-goi-cho-dem-hoa-xuan-binh-dinh,NCC003,DD048,Tour trọn gói,3200000,khách,5,25,Không hoàn sau khi xác nhận,4.67,3,dang_ban,2023-09-25
SP0037,Dịch vụ trải nghiệm Bãi biển Hương Giang – Đắk Lắk,dich-vu-trai-nghiem-bai-bien-huong-giang-dak-lak,NCC022,DD053,Dịch vụ trải nghiệm,520000,khách,1,10,Miễn phí trước 7 ngày,0.0,0,dang_ban,2025-09-16
SP0038,Dịch vụ trải nghiệm Chợ đêm Ngọc Trai – Nghệ An,dich-vu-trai-nghiem-cho-dem-ngoc-trai-nghe-an,NCC018,DD033,Dịch vụ trải nghiệm,850000,khách,1,15,Phí 30% trong 48 giờ,0.0,0,dang_ban,2023-07-22
SP0039,Dịch vụ trải nghiệm Đồi chè Phú Cường – Quảng Nam,dich-vu-trai-nghiem-doi-che-phu-cuong-quang-nam,NCC006,DD043,Dịch vụ trải nghiệm,350000,khách,1,8,Miễn phí trước 7 ngày,2.0,1,dang_ban,2025-04-11
SP0040,Vé tham quan Đồi chè Thanh Bình – Kon Tum,ve-tham-quan-doi-che-thanh-binh-kon-tum,NCC022,DD057,Vé tham quan,150000,khách,1,400,Phí 30% trong 48 giờ,0.0,0,dang_ban,2024-12-22
SP0041,Dịch vụ trải nghiệm Làng mây tre An Khê – Cà Mau,dich-vu-trai-nghiem-lang-may-tre-an-khe-ca-mau,NCC010,DD074,Dịch vụ trải nghiệm,180000,khách,1,8,Miễn phí trước 7 ngày,0.0,0,dang_ban,2024-08-21
SP0042,Dịch vụ trải nghiệm Thác Đại Lộc – Hà Giang,dich-vu-trai-nghiem-thac-dai-loc-ha-giang,NCC008,DD011,Dịch vụ trải nghiệm,850000,khách,1,10,Phí 30% trong 48 giờ,3.0,1,dang_ban,2024-05-10
SP0043,Lưu trú Quần thể di sản Hòa Xuân – Tây Ninh,luu-tru-quan-the-di-san-hoa-xuan-tay-ninh,NCC016,DD065,Lưu trú,980000,phòng/đêm,1,6,Phí 30% trong 48 giờ,3.0,1,dang_ban,2024-08-08
SP0044,Lưu trú Khu di sản Mỹ Cảnh – Hà Nội,luu-tru-khu-di-san-my-canh-ha-noi,NCC010,DD022,Lưu trú,690000,phòng/đêm,1,4,Miễn phí trước 7 ngày,0.0,0,dang_ban,2024-02-25
SP0045,Lưu trú Đỉnh núi Mỹ Cảnh – Bắc Ninh,luu-tru-dinh-nui-my-canh-bac-ninh,NCC015,DD029,Lưu trú,1450000,phòng/đêm,1,2,Miễn phí trước 3 ngày,0.0,0,dang_ban,2023-07-31
SP0046,Vé tham quan Bán đảo Long Hải – Hải Phòng,ve-tham-quan-ban-dao-long-hai-hai-phong,NCC022,DD025,Vé tham quan,50000,khách,1,400,Miễn phí trước 7 ngày,5.0,1,dang_ban,2025-01-10
SP0047,Dịch vụ trải nghiệm Miệt vườn Tây Hồ – Tuyên Quang,dich-vu-trai-nghiem-miet-vuon-tay-ho-tuyen-quang,NCC024,DD020,Dịch vụ trải nghiệm,180000,khách,1,8,Phí 30% trong 48 giờ,0.0,0,dang_ban,2025-04-07
SP0048,Lưu trú Rừng nguyên sinh Ban Mai – Hà Giang,luu-tru-rung-nguyen-sinh-ban-mai-ha-giang,NCC008,DD012,Lưu trú,2200000,phòng/đêm,1,6,Phí 30% trong 48 giờ,0.0,0,dang_ban,2025-11-28
SP0049,Dịch vụ trải nghiệm Quần thể di sản Hòa Xuân – Tây Ninh,dich-vu-trai-nghiem-quan-the-di-san-hoa-xuan-tay-ninh,NCC018,DD065,Dịch vụ trải nghiệm,180000,khách,1,20,Miễn phí trước 3 ngày,4.0,2,dang_ban,2024-11-05
SP0050,Dịch vụ trải nghiệm Thành cổ Phú Cường – Quảng Ninh,dich-vu-trai-nghiem-thanh-co-phu-cuong-quang-ninh,NCC008,DD015,Dịch vụ trải nghiệm,180000,khách,1,8,Không hoàn sau khi xác nhận,0.0,0,dang_ban,2024-06-22
SP0051,Dịch vụ trải nghiệm Chùa Thiên Hương – An Giang,dich-vu-trai-nghiem-chua-thien-huong-an-giang,NCC008,DD069,Dịch vụ trải nghiệm,180000,khách,1,8,Miễn phí trước 7 ngày,3.5,2,dang_ban,2025-12-01
SP0052,Lưu trú Thác Tây Hồ – Khánh Hòa,luu-tru-thac-tay-ho-khanh-hoa,NCC022,DD045,Lưu trú,450000,phòng/đêm,1,4,Phí 30% trong 48 giờ,3.0,1,dang_ban,2025-09-08
SP0053,Dịch vụ trải nghiệm Cánh đồng Thiên Hương – Điện Biên,dich-vu-trai-nghiem-canh-dong-thien-huong-dien-bien,NCC012,DD006,Dịch vụ trải nghiệm,180000,khách,1,20,Miễn phí trước 3 ngày,0.0,0,dang_ban,2025-09-05
SP0054,Lưu trú Miệt vườn Tây Hồ – Tuyên Quang,luu-tru-miet-vuon-tay-ho-tuyen-quang,NCC013,DD020,Lưu trú,980000,phòng/đêm,1,6,Miễn phí trước 3 ngày,0.0,0,dang_ban,2024-01-07
SP0055,Tour trọn gói Khu trung tâm Phú Cường – Kiên Giang,tour-tron-goi-khu-trung-tam-phu-cuong-kien-giang,NCC023,DD072,Tour trọn gói,1890000,khách,4,20,Phí 30% trong 48 giờ,4.0,1,dang_ban,2025-04-30
SP0056,Lưu trú Bán đảo Hương Giang – Bình Định,luu-tru-ban-dao-huong-giang-binh-dinh,NCC018,DD047,Lưu trú,450000,phòng/đêm,1,4,Không hoàn sau khi xác nhận,0.0,0,dang_ban,2025-02-28
SP0057,Dịch vụ trải nghiệm Phố đi bộ Thiên Hương – Cần Thơ,dich-vu-trai-nghiem-pho-di-bo-thien-huong-can-tho,NCC018,DD068,Dịch vụ trải nghiệm,350000,khách,1,15,Phí 30% trong 48 giờ,0.0,0,dang_ban,2024-07-04
SP0058,Tour trọn gói Làng mây tre An Khê – Cà Mau,tour-tron-goi-lang-may-tre-an-khe-ca-mau,NCC011,DD074,Tour trọn gói,6500000,khách,2,16,Không hoàn sau khi xác nhận,5.0,1,dang_ban,2023-07-27
SP0059,Lưu trú Làng mây tre Mỹ Cảnh – Hà Tĩnh,luu-tru-lang-may-tre-my-canh-ha-tinh,NCC019,DD039,Lưu trú,980000,phòng/đêm,1,6,Miễn phí trước 3 ngày,0.0,0,dang_ban,2023-12-23
SP0060,Dịch vụ trải nghiệm Khu bảo tồn Phú Cường – Lâm Đồng,dich-vu-trai-nghiem-khu-bao-ton-phu-cuong-lam-dong,NCC023,DD052,Dịch vụ trải nghiệm,520000,khách,1,10,Không hoàn sau khi xác nhận,3.0,1,dang_ban,2025-10-12
SP0061,Vé tham quan Thác Bình Minh – Ninh Thuận,ve-tham-quan-thac-binh-minh-ninh-thuan,NCC016,DD049,Vé tham quan,50000,khách,1,100,Miễn phí trước 3 ngày,5.0,1,dang_ban,2023-11-24
SP0062,Lưu trú Thành cổ Tây Hồ – Yên Bái,luu-tru-thanh-co-tay-ho-yen-bai,NCC008,DD010,Lưu trú,2200000,phòng/đêm,1,2,Không hoàn sau khi xác nhận,3.67,3,dang_ban,2023-08-22
SP0063,Vé tham quan Bãi biển Hương Giang – Đắk Lắk,ve-tham-quan-bai-bien-huong-giang-dak-lak,NCC018,DD053,Vé tham quan,250000,khách,1,200,Phí 30% trong 48 giờ,0.0,0,dang_ban,2023-10-12
SP0064,Lưu trú Rừng nguyên sinh Ban Mai – Hà Giang,luu-tru-rung-nguyen-sinh-ban-mai-ha-giang,NCC015,DD012,Lưu trú,450000,phòng/đêm,1,4,Miễn phí trước 3 ngày,3.0,1,dang_ban,2024-07-17
SP0065,Vé tham quan Rừng nguyên sinh Hòa Xuân – Kon Tum,ve-tham-quan-rung-nguyen-sinh-hoa-xuan-kon-tum,NCC014,DD058,Vé tham quan,150000,khách,1,100,Không hoàn sau khi xác nhận,0.0,0,dang_ban,2023-11-02
SP0066,Vận chuyển Làng lụa An Khê – Bến Tre,van-chuyen-lang-lua-an-khe-ben-tre,NCC010,DD075,Vận chuyển,480000,khách,1,16,Miễn phí trước 3 ngày,5.0,1,dang_ban,2024-07-29
SP0067,Vé tham quan Khu bảo tồn Phú Cường – Lâm Đồng,ve-tham-quan-khu-bao-ton-phu-cuong-lam-dong,NCC007,DD052,Vé tham quan,50000,khách,1,100,Miễn phí trước 3 ngày,5.0,1,dang_ban,2024-05-13
SP0068,Tour trọn gói Đồi chè Hòa Xuân – Sơn La,tour-tron-goi-doi-che-hoa-xuan-son-la,NCC014,DD003,Tour trọn gói,1890000,khách,5,12,Phí 30% trong 48 giờ,4.0,1,dang_ban,2025-06-17
SP0069,Vận chuyển Phố cổ Thiên Hương – Bà Rịa – Vũng Tàu,van-chuyen-pho-co-thien-huong-ba-ria-vung-tau,NCC021,DD062,Vận chuyển,120000,khách,1,16,Phí 30% trong 48 giờ,0.0,0,dang_ban,2025-05-04
SP0070,Vé tham quan Đền Thanh Bình – Hà Nội,ve-tham-quan-den-thanh-binh-ha-noi,NCC021,DD021,Vé tham quan,150000,khách,1,400,Miễn phí trước 3 ngày,0.0,0,dang_ban,2023-12-23
SP0071,Lưu trú Thác Đại Lộc – Hà Giang,luu-tru-thac-dai-loc-ha-giang,NCC001,DD011,Lưu trú,980000,phòng/đêm,1,4,Miễn phí trước 3 ngày,4.0,1,dang_ban,2025-06-15
SP0072,Vận chuyển Quần thể di sản Hương Giang – Đà Nẵng,van-chuyen-quan-the-di-san-huong-giang-da-nang,NCC018,DD042,Vận chuyển,120000,khách,1,16,Không hoàn sau khi xác nhận,5.0,1,dang_ban,2024-09-15
SP0073,Lưu trú Làng mây tre Mỹ Cảnh – Hà Tĩnh,luu-tru-lang-may-tre-my-canh-ha-tinh,NCC011,DD039,Lưu trú,1450000,phòng/đêm,1,2,Phí 30% trong 48 giờ,3.5,2,dang_ban,2025-09-25
SP0074,Tour trọn gói Rừng nguyên sinh Long Hải – Cao Bằng,tour-tron-goi-rung-nguyen-sinh-long-hai-cao-bang,NCC012,DD014,Tour trọn gói,3200000,khách,4,25,Phí 30% trong 48 giờ,0.0,0,dang_ban,2025-11-11
SP0075,Dịch vụ trải nghiệm Làng mây tre Phú Cường – Bà Rịa – Vũng Tàu,dich-vu-trai-nghiem-lang-may-tre-phu-cuong-ba-ria-vung-tau,NCC024,DD061,Dịch vụ trải nghiệm,350000,khách,1,10,Không hoàn sau khi xác nhận,3.0,1,dang_ban,2025-09-22
SP0076,Lưu trú Đảo Hương Giang – Hòa Bình,luu-tru-dao-huong-giang-hoa-binh,NCC013,DD008,Lưu trú,980000,phòng/đêm,1,2,Không hoàn sau khi xác nhận,4.0,1,dang_ban,2023-08-17
SP0077,Dịch vụ trải nghiệm Đảo Mỹ Cảnh – Thanh Hóa,dich-vu-trai-nghiem-dao-my-canh-thanh-hoa,NCC008,DD031,Dịch vụ trải nghiệm,180000,khách,1,15,Miễn phí trước 7 ngày,0.0,0,dang_ban,2024-09-16
SP0078,Tour trọn gói Quần thể di sản Hòa Xuân – Tây Ninh,tour-tron-goi-quan-the-di-san-hoa-xuan-tay-ninh,NCC013,DD065,Tour trọn gói,2450000,khách,3,12,Phí 30% trong 48 giờ,5.0,1,dang_ban,2024-06-09
SP0079,Tour trọn gói Thành cổ Tây Hồ – Yên Bái,tour-tron-goi-thanh-co-tay-ho-yen-bai,NCC008,DD010,Tour trọn gói,1290000,khách,5,16,Miễn phí trước 3 ngày,0.0,0,dang_ban,2024-11-21
SP0080,Lưu trú Thác Bình Minh – Ninh Thuận,luu-tru-thac-binh-minh-ninh-thuan,NCC002,DD049,Lưu trú,450000,phòng/đêm,1,6,Miễn phí trước 7 ngày,0.0,0,dang_ban,2025-07-07
SP0081,Vé tham quan Làng lụa Long Hải – TP. Hồ Chí Minh,ve-tham-quan-lang-lua-long-hai-tp-ho-chi-minh,NCC002,DD060,Vé tham quan,150000,khách,1,200,Phí 30% trong 48 giờ,0.0,0,dang_ban,2024-04-26
SP0082,Dịch vụ trải nghiệm Làng mây tre Mỹ Cảnh – Hà Tĩnh,dich-vu-trai-nghiem-lang-may-tre-my-canh-ha-tinh,NCC017,DD039,Dịch vụ trải nghiệm,350000,khách,1,10,Miễn phí trước 7 ngày,0.0,0,dang_ban,2024-04-25
SP0083,Lưu trú Đồi chè Phú Cường – Quảng Nam,luu-tru-doi-che-phu-cuong-quang-nam,NCC024,DD043,Lưu trú,450000,phòng/đêm,1,4,Phí 30% trong 48 giờ,5.0,2,dang_ban,2023-11-13
SP0084,Tour trọn gói Khu di sản Mỹ Cảnh – Hà Nội,tour-tron-goi-khu-di-san-my-canh-ha-noi,NCC021,DD022,Tour trọn gói,1290000,khách,2,20,Phí 30% trong 48 giờ,0.0,0,dang_ban,2023-12-01
SP0085,Vận chuyển Khu bảo tồn Phú Cường – Lâm Đồng,van-chuyen-khu-bao-ton-phu-cuong-lam-dong,NCC001,DD052,Vận chuyển,260000,khách,1,45,Miễn phí trước 7 ngày,0.0,0,dang_ban,2024-11-24
SP0086,Dịch vụ trải nghiệm Thác Đại Lộc – Hà Giang,dich-vu-trai-nghiem-thac-dai-loc-ha-giang,NCC003,DD011,Dịch vụ trải nghiệm,850000,khách,1,20,Miễn phí trước 7 ngày,0.0,0,dang_ban,2024-08-12
SP0087,Lưu trú Cánh đồng Ngọc Trai – Yên Bái,luu-tru-canh-dong-ngoc-trai-yen-bai,NCC011,DD009,Lưu trú,450000,phòng/đêm,1,4,Phí 30% trong 48 giờ,5.0,2,dang_ban,2023-08-08
SP0088,Lưu trú Địa đạo Đại Lộc – Cà Mau,luu-tru-dia-dao-dai-loc-ca-mau,NCC010,DD073,Lưu trú,980000,phòng/đêm,1,2,Miễn phí trước 7 ngày,0.0,0,dang_ban,2025-04-11
SP0089,Vận chuyển Làng lụa Thanh Bình – Kiên Giang,van-chuyen-lang-lua-thanh-binh-kien-giang,NCC004,DD071,Vận chuyển,750000,khách,1,16,Miễn phí trước 7 ngày,0.0,0,dang_ban,2024-06-19
SP0090,Dịch vụ trải nghiệm Chùa Hương Giang – Tuyên Quang,dich-vu-trai-nghiem-chua-huong-giang-tuyen-quang,NCC001,DD019,Dịch vụ trải nghiệm,350000,khách,1,15,Không hoàn sau khi xác nhận,5.0,1,dang_ban,2025-01-07
SP0091,Dịch vụ trải nghiệm Khu di sản Mỹ Cảnh – Đồng Nai,dich-vu-trai-nghiem-khu-di-san-my-canh-dong-nai,NCC002,DD064,Dịch vụ trải nghiệm,850000,khách,1,20,Miễn phí trước 7 ngày,0.0,0,dang_ban,2025-11-18
SP0092,Dịch vụ trải nghiệm Thác Ngọc Trai – TP. Hồ Chí Minh,dich-vu-trai-nghiem-thac-ngoc-trai-tp-ho-chi-minh,NCC008,DD059,Dịch vụ trải nghiệm,180000,khách,1,8,Không hoàn sau khi xác nhận,4.0,1,dang_ban,2023-07-27
SP0093,Dịch vụ trải nghiệm Khu trung tâm An Khê – Đồng Nai,dich-vu-trai-nghiem-khu-trung-tam-an-khe-dong-nai,NCC006,DD063,Dịch vụ trải nghiệm,180000,khách,1,15,Phí 30% trong 48 giờ,0.0,0,dang_ban,2024-03-21
SP0094,Vận chuyển Thành cổ Tây Hồ – Yên Bái,van-chuyen-thanh-co-tay-ho-yen-bai,NCC002,DD010,Vận chuyển,750000,khách,1,45,Miễn phí trước 3 ngày,0.0,0,dang_ban,2024-07-07
SP0095,Lưu trú Rừng nguyên sinh Hòa Xuân – Kon Tum,luu-tru-rung-nguyen-sinh-hoa-xuan-kon-tum,NCC019,DD058,Lưu trú,2200000,phòng/đêm,1,4,Miễn phí trước 7 ngày,5.0,2,dang_ban,2024-12-11
SP0096,Vé tham quan Làng lụa Thanh Bình – Kiên Giang,ve-tham-quan-lang-lua-thanh-binh-kien-giang,NCC019,DD071,Vé tham quan,50000,khách,1,400,Không hoàn sau khi xác nhận,5.0,1,dang_ban,2024-07-02
SP0097,Lưu trú Bán đảo Long Hải – Hải Phòng,luu-tru-ban-dao-long-hai-hai-phong,NCC016,DD025,Lưu trú,690000,phòng/đêm,1,4,Miễn phí trước 3 ngày,4.0,1,dang_ban,2024-12-01
SP0098,Tour trọn gói Thung lũng Thanh Bình – Quảng Nam,tour-tron-goi-thung-lung-thanh-binh-quang-nam,NCC012,DD044,Tour trọn gói,3200000,khách,4,25,Không hoàn sau khi xác nhận,0.0,0,dang_ban,2024-01-09
SP0099,Vận chuyển Bán đảo Thanh Bình – Bắc Ninh,van-chuyen-ban-dao-thanh-binh-bac-ninh,NCC017,DD030,Vận chuyển,750000,khách,1,45,Không hoàn sau khi xác nhận,5.0,1,dang_ban,2024-12-03
SP0100,Dịch vụ trải nghiệm Phố cổ Long Hải – Nam Định,dich-vu-trai-nghiem-pho-co-long-hai-nam-dinh,NCC010,DD027,Dịch vụ trải nghiệm,520000,khách,1,10,Miễn phí trước 3 ngày,0.0,0,dang_ban,2025-09-02
SP0101,Dịch vụ trải nghiệm Khu bảo tồn Mỹ Cảnh – Huế,dich-vu-trai-nghiem-khu-bao-ton-my-canh-hue,NCC011,DD038,Dịch vụ trải nghiệm,180000,khách,1,8,Miễn phí trước 3 ngày,0.0,0,dang_ban,2024-01-11
SP0102,Tour trọn gói Địa đạo Đại Lộc – Cà Mau,tour-tron-goi-dia-dao-dai-loc-ca-mau,NCC016,DD073,Tour trọn gói,3200000,khách,5,30,Phí 30% trong 48 giờ,0.0,0,dang_ban,2025-06-19
SP0103,Lưu trú Khu trung tâm Phú Cường – Kiên Giang,luu-tru-khu-trung-tam-phu-cuong-kien-giang,NCC005,DD072,Lưu trú,450000,phòng/đêm,1,6,Phí 30% trong 48 giờ,2.0,1,dang_ban,2025-03-24
SP0104,Vận chuyển Chùa Thiên Hương – An Giang,van-chuyen-chua-thien-huong-an-giang,NCC002,DD069,Vận chuyển,120000,khách,1,29,Không hoàn sau khi xác nhận,5.0,1,dang_ban,2023-11-01
SP0105,Vé tham quan Khu tưởng niệm Ban Mai – Nghệ An,ve-tham-quan-khu-tuong-niem-ban-mai-nghe-an,NCC022,DD034,Vé tham quan,250000,khách,1,400,Miễn phí trước 7 ngày,0.0,0,dang_ban,2025-10-13
