ma_bai_viet,tieu_de,duong_dan_tinh,ma_diem_den,chu_de,the_gan,tom_tat,so_luot_xem,ngay_dang,trang_thai
BV0018,"Gợi ý hành trình khi đến Khu di sản Mỹ Cảnh, Hà Nội",goi-y-hanh-trinh-khi-den-khu-di-san-my-canh-ha-noi,DD022,Gợi ý hành trình,"phuot, bien, di-san","Bài viết mô phỏng phục vụ đào tạo, giới thiệu di sản văn hóa tại Hà Nội.",227,2025-04-04,xuat_ban
BV0019,"Mẹo tiết kiệm khi đến Vườn quốc gia Thanh Bình, Ninh Bình",meo-tiet-kiem-khi-den-vuon-quoc-gia-thanh-binh-ninh-binh,DD023,Mẹo tiết kiệm,"am-thuc, nui, phuot","Bài viết mô phỏng phục vụ đào tạo, giới thiệu vườn quốc gia tại Ninh Bình.",2322,2024-06-09,xuat_ban
BV0020,"Mẹo tiết kiệm khi đến Miệt vườn Phú Cường, Cao Bằng",meo-tiet-kiem-khi-den-miet-vuon-phu-cuong-cao-bang,DD013,Mẹo tiết kiệm,"nui, gia-dinh, phuot","Bài viết mô phỏng phục vụ đào tạo, giới thiệu sinh thái nông nghiệp tại Cao Bằng.",9012,2024-09-18,xuat_ban
BV0021,"Kinh nghiệm khi đến Vườn quốc gia Hương Giang, Đà Nẵng",kinh-nghiem-khi-den-vuon-quoc-gia-huong-giang-da-nang,DD041,Kinh nghiệm,"am-thuc, nui, gia-dinh","Bài viết mô phỏng phục vụ đào tạo, giới thiệu vườn quốc gia tại Đà Nẵng.",2831,2024-12-15,xuat_ban
BV0022,"Mẹo tiết kiệm khi đến Đỉnh núi Mỹ Cảnh, Bắc Ninh",meo-tiet-kiem-khi-den-dinh-nui-my-canh-bac-ninh,DD029,Mẹo tiết kiệm,"cuoi-tuan, gia-dinh, nghi-duong","Bài viết mô phỏng phục vụ đào tạo, giới thiệu danh thắng thiên nhiên tại Bắc Ninh.",1110,2024-11-02,xuat_ban
BV0023,"Ẩm thực khi đến Hang động Hòa Xuân, Tây Ninh",am-thuc-khi-den-hang-dong-hoa-xuan-tay-ninh,DD066,Ẩm thực,"nghi-duong, phuot, di-san","Bài viết mô phỏng phục vụ đào tạo, giới thiệu danh thắng thiên nhiên tại Tây Ninh.",4038,2024-09-15,xuat_ban
BV0024,"Gợi ý hành trình khi đến Đền Thanh Bình, Hà Nội",goi-y-hanh-trinh-khi-den-den-thanh-binh-ha-noi,DD021,Gợi ý hành trình,"di-san, cuoi-tuan, nghi-duong","Bài viết mô phỏng phục vụ đào tạo, giới thiệu di tích lịch sử tại Hà Nội.",8406,2024-06-28,xuat_ban
BV0025,"Văn hóa bản địa khi đến Đền An Khê, Quảng Bình",van-hoa-ban-dia-khi-den-den-an-khe-quang-binh,DD036,Văn hóa bản địa,"phuot, nui, cuoi-tuan","Bài viết mô phỏng phục vụ đào tạo, giới thiệu di tích lịch sử tại Quảng Bình.",7607,2024-06-03,xuat_ban
BV0026,"Kinh nghiệm khi đến Đền An Khê, Quảng Bình",kinh-nghiem-khi-den-den-an-khe-quang-binh,DD036,Kinh nghiệm,"nghi-duong, nui, cuoi-tuan","Bài viết mô phỏng phục vụ đào tạo, giới thiệu di tích lịch sử tại Quảng Bình.",809,2024-04-01,xuat_ban
BV0027,"Mẹo tiết kiệm khi đến Đồi chè Hương Giang, Ninh Thuận",meo-tiet-kiem-khi-den-doi-che-huong-giang-ninh-thuan,DD050,Mẹo tiết kiệm,"bien, di-san, nghi-duong","Bài viết mô phỏng phục vụ đào tạo, giới thiệu sinh thái nông nghiệp tại Ninh Thuận.",4745,2025-01-22,xuat_ban
BV0028,"Cẩm nang khi đến Đồi chè Thiên Hương, Lào Cai",cam-nang-khi-den-doi-che-thien-huong-lao-cai,DD002,Cẩm nang,"nghi-duong, nui, phuot","Bài viết mô phỏng phục vụ đào tạo, giới thiệu sinh thái nông nghiệp tại Lào Cai.",3664,2025-08-22,xuat_ban
BV0029,"Kinh nghiệm khi đến Rừng nguyên sinh Hòa Xuân, Kon Tum",kinh-nghiem-khi-den-rung-nguyen-sinh-hoa-xuan-kon-tum,DD058,Kinh nghiệm,"gia-dinh, nui, di-san","Bài viết mô phỏng phục vụ đào tạo, giới thiệu vườn quốc gia tại Kon Tum.",7772,2024-03-21,xuat_ban
BV0030,"Mẹo tiết kiệm khi đến Vườn quốc gia Hòa Xuân, Hải Phòng",meo-tiet-kiem-khi-den-vuon-quoc-gia-hoa-xuan-hai-phong,DD026,Mẹo tiết kiệm,"di-san, gia-dinh, am-thuc","Bài viết mô phỏng phục vụ đào tạo, giới thiệu vườn quốc gia tại Hải Phòng.",3975,2025-12-02,xuat_ban
BV0031,"Gợi ý hành trình khi đến Đền An Khê, An Giang",goi-y-hanh-trinh-khi-den-den-an-khe-an-giang,DD070,Gợi ý hành trình,"am-thuc, nui, di-san","Bài viết mô phỏng phục vụ đào tạo, giới thiệu di tích lịch sử tại An Giang.",3463,2024-12-31,xuat_ban
BV0032,"Văn hóa bản địa khi đến Thác Tây Hồ, Khánh Hòa",van-hoa-ban-dia-khi-den-thac-tay-ho-khanh-hoa,DD045,Văn hóa bản địa,"am-thuc, phuot, bien","Bài viết mô phỏng phục vụ đào tạo, giới thiệu danh thắng thiên nhiên tại Khánh Hòa.",4025,2025-11-05,xuat_ban
BV0033,"Cẩm nang khi đến Miệt vườn Phú Cường, Cao Bằng",cam-nang-khi-den-miet-vuon-phu-cuong-cao-bang,DD013,Cẩm nang,"nghi-duong, phuot, bien","Bài viết mô phỏng phục vụ đào tạo, giới thiệu sinh thái nông nghiệp tại Cao Bằng.",5917,2025-06-22,xuat_ban
BV0034,"Gợi ý hành trình khi đến Chùa Thiên Hương, An Giang",goi-y-hanh-trinh-khi-den-chua-thien-huong-an-giang,DD069,Gợi ý hành trình,"gia-dinh, nghi-duong, cuoi-tuan","Bài viết mô phỏng phục vụ đào tạo, giới thiệu di tích lịch sử tại An Giang.",4604,2025-10-13,xuat_ban
BV0035,"Văn hóa bản địa khi đến Bãi biển Ngọc Trai, Sơn La",van-hoa-ban-dia-khi-den-bai-bien-ngoc-trai-son-la,DD004,Văn hóa bản địa,"nghi-duong, cuoi-tuan, gia-dinh","Bài viết mô phỏng phục vụ đào tạo, giới thiệu bãi biển tại Sơn La.",11287,2024-03-17,xuat_ban
BV0036,"Kinh nghiệm khi đến Quảng trường Vân Sơn, Gia Lai",kinh-nghiem-khi-den-quang-truong-van-son-gia-lai,DD055,Kinh nghiệm,"cuoi-tuan, bien, di-san","Bài viết mô phỏng phục vụ đào tạo, giới thiệu đô thị – mua sắm tại Gia Lai.",6689,2024-04-06,xuat_ban
BV0037,"Mẹo tiết kiệm khi đến Vườn quốc gia Hương Giang, Đà Nẵng",meo-tiet-kiem-khi-den-vuon-quoc-gia-huong-giang-da-nang,DD041,Mẹo tiết kiệm,"nui, bien, am-thuc","Bài viết mô phỏng phục vụ đào tạo, giới thiệu vườn quốc gia tại Đà Nẵng.",6634,2024-08-19,xuat_ban
BV0038,"Văn hóa bản địa khi đến Chợ đêm Hòa Xuân, Bình Định",van-hoa-ban-dia-khi-den-cho-dem-hoa-xuan-binh-dinh,DD048,Văn hóa bản địa,"cuoi-tuan, am-thuc, nghi-duong","Bài viết mô phỏng phục vụ đào tạo, giới thiệu đô thị – mua sắm tại Bình Định.",5803,2024-08-24,xuat_ban
BV0039,"Cẩm nang khi đến Thác Thiên Hương, Quảng Ninh",cam-nang-khi-den-thac-thien-huong-quang-ninh,DD016,Cẩm nang,"bien, gia-dinh, cuoi-tuan","Bài viết mô phỏng phục vụ đào tạo, giới thiệu danh thắng thiên nhiên tại Quảng Ninh.",10006,2024-06-23,xuat_ban
BV0040,"Gợi ý hành trình khi đến Cánh đồng Ngọc Trai, Yên Bái",goi-y-hanh-trinh-khi-den-canh-dong-ngoc-trai-yen-bai,DD009,Gợi ý hành trình,"am-thuc, nghi-duong, phuot","Bài viết mô phỏng phục vụ đào tạo, giới thiệu sinh thái nông nghiệp tại Yên Bái.",5896,2025-08-20,xuat_ban
BV0041,"Kinh nghiệm khi đến Khu di sản Mỹ Cảnh, Đồng Nai",kinh-nghiem-khi-den-khu-di-san-my-canh-dong-nai,DD064,Kinh nghiệm,"bien, cuoi-tuan, di-san","Bài viết mô phỏng phục vụ đào tạo, giới thiệu di sản văn hóa tại Đồng Nai.",11323,2024-09-06,xuat_ban
BV0042,"Ẩm thực khi đến Đồi chè Hòa Xuân, Sơn La",am-thuc-khi-den-doi-che-hoa-xuan-son-la,DD003,Ẩm thực,"cuoi-tuan, nui, phuot","Bài viết mô phỏng phục vụ đào tạo, giới thiệu sinh thái nông nghiệp tại Sơn La.",3591,2025-06-01,ban_nhap
BV0043,"Mẹo tiết kiệm khi đến Vườn quốc gia Thanh Bình, Ninh Bình",meo-tiet-kiem-khi-den-vuon-quoc-gia-thanh-binh-ninh-binh,DD023,Mẹo tiết kiệm,"bien, phuot, cuoi-tuan","Bài viết mô phỏng phục vụ đào tạo, giới thiệu vườn quốc gia tại Ninh Bình.",1159,2024-12-07,xuat_ban
BV0044,"Gợi ý hành trình khi đến Địa đạo Đại Lộc, Cà Mau",goi-y-hanh-trinh-khi-den-dia-dao-dai-loc-ca-mau,DD073,Gợi ý hành trình,"am-thuc, di-san, gia-dinh","Bài viết mô phỏng phục vụ đào tạo, giới thiệu di tích lịch sử tại Cà Mau.",1346,2024-06-11,xuat_ban
BV0045,"Văn hóa bản địa khi đến Địa đạo Đại Lộc, Ninh Bình",van-hoa-ban-dia-khi-den-dia-dao-dai-loc-ninh-binh,DD024,Văn hóa bản địa,"bien, cuoi-tuan, gia-dinh","Bài viết mô phỏng phục vụ đào tạo, giới thiệu di tích lịch sử tại Ninh Bình.",8667,2024-10-12,xuat_ban
BV0046,"Mẹo tiết kiệm khi đến Chợ đêm Thiên Hương, Thanh Hóa",meo-tiet-kiem-khi-den-cho-dem-thien-huong-thanh-hoa,DD032,Mẹo tiết kiệm,"bien, nui, phuot","Bài viết mô phỏng phục vụ đào tạo, giới thiệu đô thị – mua sắm tại Thanh Hóa.",2670,2024-11-29,xuat_ban
BV0047,"Ẩm thực khi đến Phố cổ Thiên Hương, Bà Rịa – Vũng Tàu",am-thuc-khi-den-pho-co-thien-huong-ba-ria-vung-tau,DD062,Ẩm thực,"cuoi-tuan, phuot, di-san","Bài viết mô phỏng phục vụ đào tạo, giới thiệu di sản văn hóa tại Bà Rịa – Vũng Tàu.",8612,2025-11-13,xuat_ban
BV0048,"Mẹo tiết kiệm khi đến Đồi chè Thiên Hương, Lào Cai",meo-tiet-kiem-khi-den-doi-che-thien-huong-lao-cai,DD002,Mẹo tiết kiệm,"cuoi-tuan, bien, di-san","Bài viết mô phỏng phục vụ đào tạo, giới thiệu sinh thái nông nghiệp tại Lào Cai.",7525,2025-12-22,xuat_ban
BV0049,"Ẩm thực khi đến Đền An Khê, Quảng Bình",am-thuc-khi-den-den-an-khe-quang-binh,DD036,Ẩm thực,"gia-dinh, cuoi-tuan, bien","Bài viết mô phỏng phục vụ đào tạo, giới thiệu di tích lịch sử tại Quảng Bình.",5865,2024-09-11,xuat_ban
BV0050,"Ẩm thực khi đến Đền Ban Mai, Hòa Bình",am-thuc-khi-den-den-ban-mai-hoa-binh,DD007,Ẩm thực,"cuoi-tuan, di-san, phuot","Bài viết mô phỏng phục vụ đào tạo, giới thiệu di tích lịch sử tại Hòa Bình.",2671,2025-08-21,xuat_ban
BV0051,"Cẩm nang khi đến Làng gốm Thanh Bình, Gia Lai",cam-nang-khi-den-lang-gom-thanh-binh-gia-lai,DD056,Cẩm nang,"phuot, di-san, cuoi-tuan","Bài viết mô phỏng phục vụ đào tạo, giới thiệu làng nghề truyền thống tại Gia Lai.",4225,2025-09-12,xuat_ban
BV0052,"Gợi ý hành trình khi đến Miệt vườn Bình Minh, Khánh Hòa",goi-y-hanh-trinh-khi-den-miet-vuon-binh-minh-khanh-hoa,DD046,Gợi ý hành trình,"bien, di-san, nghi-duong","Bài viết mô phỏng phục vụ đào tạo, giới thiệu sinh thái nông nghiệp tại Khánh Hòa.",11835,2025-12-26,xuat_ban
BV0053,"Ẩm thực khi đến Rừng nguyên sinh Long Hải, Cao Bằng",am-thuc-khi-den-rung-nguyen-sinh-long-hai-cao-bang,DD014,Ẩm thực,"nui, gia-dinh, di-san","Bài viết mô phỏng phục vụ đào tạo, giới thiệu vườn quốc gia tại Cao Bằng.",1787,2024-03-28,xuat_ban
BV0054,"Cẩm nang khi đến Bãi biển Đại Lộc, Đắk Lắk",cam-nang-khi-den-bai-bien-dai-loc-dak-lak,DD054,Cẩm nang,"cuoi-tuan, nghi-duong, am-thuc","Bài viết mô phỏng phục vụ đào tạo, giới thiệu bãi biển tại Đắk Lắk.",10526,2025-04-07,xuat_ban
BV0055,"Ẩm thực khi đến Quần thể di sản Hòa Xuân, Tây Ninh",am-thuc-khi-den-quan-the-di-san-hoa-xuan-tay-ninh,DD065,Ẩm thực,"bien, cuoi-tuan, nui","Bài viết mô phỏng phục vụ đào tạo, giới thiệu di sản văn hóa tại Tây Ninh.",9182,2025-07-05,xuat_ban
BV0056,"Kinh nghiệm khi đến Đồi chè Hòa Xuân, Sơn La",kinh-nghiem-khi-den-doi-che-hoa-xuan-son-la,DD003,Kinh nghiệm,"bien, nui, cuoi-tuan","Bài viết mô phỏng phục vụ đào tạo, giới thiệu sinh thái nông nghiệp tại Sơn La.",11644,2025-01-16,xuat_ban
BV0057,"Gợi ý hành trình khi đến Đồi chè Hòa Xuân, Huế",goi-y-hanh-trinh-khi-den-doi-che-hoa-xuan-hue,DD037,Gợi ý hành trình,"bien, gia-dinh, nui","Bài viết mô phỏng phục vụ đào tạo, giới thiệu sinh thái nông nghiệp tại Huế.",52,2025-03-18,xuat_ban
BV0058,"Mẹo tiết kiệm khi đến Bán đảo Long Hải, Hải Phòng",meo-tiet-kiem-khi-den-ban-dao-long-hai-hai-phong,DD025,Mẹo tiết kiệm,"nui, di-san, cuoi-tuan","Bài viết mô phỏng phục vụ đào tạo, giới thiệu bãi biển tại Hải Phòng.",9579,2024-08-14,xuat_ban
BV0059,"Cẩm nang khi đến Đồi chè Ban Mai, Quảng Bình",cam-nang-khi-den-doi-che-ban-mai-quang-binh,DD035,Cẩm nang,"bien, phuot, nghi-duong","Bài viết mô phỏng phục vụ đào tạo, giới thiệu sinh thái nông nghiệp tại Quảng Bình.",9237,2025-12-16,xuat_ban
BV0060,"Mẹo tiết kiệm khi đến Chợ đêm Thiên Hương, Thanh Hóa",meo-tiet-kiem-khi-den-cho-dem-thien-huong-thanh-hoa,DD032,Mẹo tiết kiệm,"bien, nui, cuoi-tuan","Bài viết mô phỏng phục vụ đào tạo, giới thiệu đô thị – mua sắm tại Thanh Hóa.",8842,2025-07-24,xuat_ban
