ma_danh_gia,ma_san_pham,ma_don,ma_nguoi_dung,diem,noi_dung,ngay_danh_gia,trang_thai_kiem_duyet
DG00049,SP0108,DH00142,ND0101,5,"Hướng dẫn viên nhiệt tình, lịch trình hợp lý.",2025-09-18,da_duyet
DG00050,SP0123,DH00144,ND0058,3,"Ăn uống bình thường, chỗ nghỉ ổn.",2025-10-04,da_duyet
DG00051,SP0062,DH00144,ND0058,3,Cần cải thiện khâu đón khách.,2025-10-13,da_duyet
DG00052,SP0039,DH00146,ND0074,2,Thông tin trên website chưa khớp thực tế.,2025-10-23,da_duyet
DG00053,SP0090,DH00150,ND0098,3,Cần cải thiện khâu đón khách.,2025-12-23,cho_duyet
DG00054,SP0073,DH00150,ND0098,3,Cần cải thiện khâu đón khách.,2025-12-14,da_duyet
DG00055,SP0097,DH00150,ND0098,4,"Cảnh đẹp, tổ chức đúng giờ.",2025-12-28,da_duyet
DG00056,SP0117,DH00165,ND0037,5,"Phòng sạch, nhân viên thân thiện.",2025-12-14,da_duyet
DG00057,SP0099,DH00175,ND0080,5,Dịch vụ tốt so với mức giá.,2025-10-28,da_duyet
DG00058,SP0123,DH00179,ND0052,5,"Hướng dẫn viên nhiệt tình, lịch trình hợp lý.",2025-12-30,da_duyet
DG00059,SP0049,DH00181,ND0092,4,"Trải nghiệm đáng nhớ, sẽ quay lại.",2025-12-23,da_duyet
DG00060,SP0109,DH00187,ND0103,5,"Cảnh đẹp, tổ chức đúng giờ.",2025-10-11,da_duyet
DG00061,SP0003,DH00187,ND0103,4,"Trải nghiệm đáng nhớ, sẽ quay lại.",2025-10-22,da_duyet
DG00062,SP0052,DH00188,ND0086,3,"Ăn uống bình thường, chỗ nghỉ ổn.",2026-01-19,da_duyet
DG00063,SP0062,DH00188,ND0086,4,"Hướng dẫn viên nhiệt tình, lịch trình hợp lý.",2025-12-25,da_duyet
DG00064,SP0073,DH00189,ND0089,4,"Cảnh đẹp, tổ chức đúng giờ.",2025-11-04,da_duyet
DG00065,SP0036,DH00190,ND0069,4,Dịch vụ tốt so với mức giá.,2025-12-09,da_duyet
DG00066,SP0123,DH00197,ND0052,4,"Hướng dẫn viên nhiệt tình, lịch trình hợp lý.",2026-01-22,tu_choi
DG00067,SP0128,DH00197,ND0052,3,Lịch trình hơi gấp nhưng chấp nhận được.,2026-01-12,da_duyet
DG00068,SP0050,DH00205,ND0085,3,Đông khách vào cuối tuần.,2025-11-13,tu_choi
DG00069,SP0009,DH00207,ND0110,3,"Ăn uống bình thường, chỗ nghỉ ổn.",2026-01-14,da_duyet
DG00070,SP0096,DH00211,ND0038,5,"Phòng sạch, nhân viên thân thiện.",2025-12-18,da_duyet
DG00071,SP0125,DH00215,ND0060,5,Dịch vụ tốt so với mức giá.,2026-01-25,da_duyet
DG00072,SP0123,DH00217,ND0097,4,"Trải nghiệm đáng nhớ, sẽ quay lại.",2025-11-03,da_duyet
DG00073,SP0034,DH00217,ND0097,5,"Hướng dẫn viên nhiệt tình, lịch trình hợp lý.",2025-11-12,da_duyet
DG00074,SP0042,DH00226,ND0072,3,Lịch trình hơi gấp nhưng chấp nhận được.,2025-12-17,da_duyet
DG00075,SP0072,DH00226,ND0072,5,Dịch vụ tốt so với mức giá.,2025-12-23,da_duyet
DG00076,SP0025,DH00230,ND0077,5,"Phòng sạch, nhân viên thân thiện.",2025-12-18,da_duyet
DG00077,SP0015,DH00230,ND0077,2,Chờ đợi lâu ở điểm tập trung.,2025-12-12,cho_duyet
DG00078,SP0036,DH00234,ND0109,5,"Phòng sạch, nhân viên thân thiện.",2025-12-17,da_duyet
DG00079,SP0025,DH00240,ND0066,3,Lịch trình hơi gấp nhưng chấp nhận được.,2026-01-03,da_duyet
DG00080,SP0078,DH00242,ND0051,5,"Hướng dẫn viên nhiệt tình, lịch trình hợp lý.",2026-01-06,da_duyet
DG00081,SP0095,DH00246,ND0071,5,"Hướng dẫn viên nhiệt tình, lịch trình hợp lý.",2025-11-28,da_duyet
DG00082,SP0004,DH00247,ND0072,4,"Phòng sạch, nhân viên thân thiện.",2025-11-03,da_duyet
DG00083,SP0061,DH00247,ND0072,5,"Phòng sạch, nhân viên thân thiện.",2025-10-29,da_duyet
DG00084,SP0068,DH00250,ND0069,4,"Trải nghiệm đáng nhớ, sẽ quay lại.",2025-11-22,da_duyet
DG00085,SP0128,DH00253,ND0081,4,Dịch vụ tốt so với mức giá.,2025-11-29,da_duyet
DG00086,SP0092,DH00257,ND0043,4,"Trải nghiệm đáng nhớ, sẽ quay lại.",2026-01-12,da_duyet
DG00087,SP0121,DH00259,ND0060,4,Dịch vụ tốt so với mức giá.,2026-01-10,da_duyet
DG00088,SP0032,DH00260,ND0087,4,"Phòng sạch, nhân viên thân thiện.",2025-09-15,da_duyet
